Timestamp,EventType,Details
2026-01-08 17:40:57,Trip_Start,Detection started.
2026-01-08 17:40:57,State,drowsy
2026-01-08 17:40:58,State,attentive
2026-01-08 17:40:59,State,attentive
2026-01-08 17:41:00,State,attentive
2026-01-08 17:41:02,State,attentive
2026-01-08 17:41:03,State,attentive
2026-01-08 17:41:04,State,drowsy
2026-01-08 17:41:05,State,drowsy
2026-01-08 17:41:06,State,yawn
2026-01-08 17:41:07,State,attentive
2026-01-08 17:41:08,State,attentive
2026-01-08 17:41:09,State,attentive
2026-01-08 17:41:10,State,attentive
2026-01-08 17:41:11,State,attentive
2026-01-08 17:41:12,State,attentive
2026-01-08 17:41:13,State,attentive
2026-01-08 17:41:14,State,attentive
2026-01-08 17:41:15,State,attentive
2026-01-08 17:41:15,Yawn_Warning,5 yawns detected.
2026-01-08 17:41:16,State,drowsy
2026-01-08 17:41:17,State,drowsy
2026-01-08 17:41:18,State,attentive
2026-01-08 17:41:19,State,attentive
2026-01-08 17:41:20,Trip_End,System disengaged.
